t,frame_seq,result_ready_t,capture_to_log_ms,inference_ms,refinement_ms,processing_ms,raw_x_cm,sent_x_cm,raw_vx_cm_s,sent_vx_cm_s,measurement_valid,tracking_valid,sent_valid,confidence,source,reason,actual_angle_deg,center_x_px,center_y_px,radius_px,measurement_x_cm,kalman_x_cm,kalman_vx_cm_s
4010.404167,88,4010.412790,8.6232,5.1196,0.0000,8.4414,,-10.7586,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4010.420679,89,4010.434924,14.2452,5.1506,0.4141,14.1102,-10.7688,-10.7688,0.0000,0.0000,1,1,1,0.4051,yolo_box,ok,12.0000,919.2464,72.7434,21.9939,-10.7688,-10.7688,0.0000
4010.437525,90,4010.455571,18.0458,5.3244,0.6185,17.8035,-10.7569,-10.7569,0.0000,0.0000,1,1,1,0.2522,yolo_box,ok,12.0000,918.7316,71.7733,21.9755,-10.7569,-10.7569,0.0000
4010.454200,91,4010.473816,19.6164,5.4068,4.2366,17.9223,-10.7632,-10.7632,0.0000,0.0000,1,1,1,0.3125,yolo_box,ok,12.0000,919.0064,71.4780,21.9508,-10.7632,-10.7632,0.0000
4010.468634,92,4010.490383,21.7488,7.4530,0.4222,16.3495,-10.7665,-10.7665,0.0000,0.0000,1,1,1,0.4228,yolo_box,ok,12.0000,919.1479,72.0912,21.8175,-10.7665,-10.7665,0.0000
4010.484574,93,4010.505181,20.6067,5.1399,0.4446,14.5099,-10.7767,-10.7767,0.0000,0.0000,1,1,1,0.3971,yolo_box,ok,12.0000,919.5909,72.3947,22.3261,-10.7767,-10.7767,0.0000
4010.505233,94,4010.522478,17.2446,5.1317,0.4087,17.0795,-10.7599,-10.7599,0.0000,0.0000,1,1,1,0.3499,yolo_box,ok,12.0000,918.8607,71.7671,22.0965,-10.7599,-10.7599,0.0000
4010.521540,95,4010.537442,15.9016,5.1295,0.4495,14.6468,-10.7650,-10.7650,0.0000,0.0000,1,1,1,0.4562,yolo_box,ok,12.0000,919.0843,72.8357,22.1190,-10.7650,-10.7650,0.0000
4010.537104,96,4010.551452,14.3484,5.0948,0.4119,13.7981,-10.7599,-10.7599,0.0000,0.0000,1,1,1,0.4195,yolo_box,ok,12.0000,918.8607,72.1958,22.0965,-10.7599,-10.7599,0.0000
4010.552441,97,4010.567762,15.3211,5.1081,0.4325,15.1908,-10.7630,-10.7630,0.0000,0.0000,1,1,1,0.2963,yolo_box,ok,12.0000,918.9961,71.3282,22.2195,-10.7630,-10.7630,0.0000
4010.568857,98,4010.583096,14.2384,5.1238,0.4641,14.1177,-10.7697,-10.7697,0.0000,0.0000,1,1,1,0.3620,yolo_box,ok,12.0000,919.2894,71.2339,22.2216,-10.7697,-10.7697,0.0000
4010.584450,99,4010.598316,13.8660,5.1092,0.4169,13.7469,-10.7634,-10.7634,0.0000,0.0000,1,1,1,0.6179,yolo_box,ok,12.0000,919.0146,71.5374,21.6760,-10.7634,-10.7634,0.0000
4010.604193,100,4010.619284,15.0910,5.1327,0.4112,14.9059,-10.7657,-10.7657,0.0000,0.0000,1,1,1,0.4415,yolo_box,ok,12.0000,919.1130,71.9169,21.8524,-10.7657,-10.7657,0.0000
4010.620773,101,4010.629325,8.5516,5.1493,0.0000,8.4424,,-10.7657,0.0000,0.0000,0,1,0,0.0000,prediction,short-prediction,12.0000,,,,,,0.0000
4010.636142,102,4010.650271,14.1292,5.1463,0.4205,13.9908,-10.7657,-10.7657,0.0000,0.0000,1,1,1,0.5805,yolo_box,ok,12.0000,919.1130,72.0399,21.8646,-10.7657,-10.7657,0.0000
4010.652943,103,4010.670720,17.7766,5.2323,0.5768,17.6099,-10.7625,-10.7625,0.0000,0.0000,1,1,1,0.5853,yolo_box,ok,12.0000,918.9736,71.7651,21.7211,-10.7625,-10.7625,0.0000
4010.672733,104,4010.690911,18.1779,8.6343,0.4213,17.9881,-10.7688,-10.7688,0.0000,0.0000,1,1,1,0.4801,yolo_box,ok,12.0000,919.2464,72.2573,21.9857,-10.7688,-10.7688,0.0000
4010.685253,105,4010.705603,20.3502,5.1026,0.4637,14.4807,-10.7655,-10.7655,0.0000,0.0000,1,1,1,0.4131,yolo_box,ok,12.0000,919.1069,71.2852,21.8462,-10.7655,-10.7655,0.0000
4010.705654,106,4010.721877,16.2227,5.0865,1.7689,15.9771,-10.7629,-10.7629,0.0000,0.0000,1,1,1,0.4677,yolo_box,ok,12.0000,918.9920,71.4534,22.2236,-10.7629,-10.7629,0.0000
4010.721346,107,4010.736291,14.9447,5.0827,0.4621,14.2002,-10.7622,-10.7622,0.0000,0.0000,1,1,1,0.4131,yolo_box,ok,12.0000,918.9633,72.3906,21.7273,-10.7622,-10.7622,0.0000
4010.737097,108,4010.751076,13.9790,5.1339,0.4177,13.7958,-10.7537,-10.7537,0.0000,0.0000,1,1,1,0.3313,yolo_box,ok,12.0000,918.5941,72.5485,21.9160,-10.7537,-10.7537,0.0000
4010.752581,109,4010.767628,15.0474,5.1029,0.4102,14.9156,-10.7663,-10.7663,0.0000,0.0000,1,1,1,0.3153,yolo_box,ok,12.0000,919.1417,71.7507,22.0862,-10.7663,-10.7663,0.0000
4010.769284,110,4010.783223,13.9393,5.1301,0.4100,13.8155,-10.7688,-10.7688,0.0000,0.0000,1,1,1,0.4917,yolo_box,ok,12.0000,919.2464,71.7446,21.9857,-10.7688,-10.7688,0.0000
4010.784536,111,4010.798408,13.8719,5.1053,0.4298,13.7446,-10.7544,-10.7544,0.0000,0.0000,1,1,1,0.3139,yolo_box,ok,12.0000,918.6229,71.8840,21.6699,-10.7544,-10.7544,0.0000
4010.804142,112,4010.819022,14.8802,5.1767,0.4236,14.7523,-10.7634,-10.7634,0.0000,0.0000,1,1,1,0.3620,yolo_box,ok,12.0000,919.0126,70.6781,21.6699,-10.7634,-10.7634,0.0000
4010.820763,113,4010.834842,14.0793,5.1066,0.4582,13.9595,-10.7657,-10.7657,0.0000,0.0000,1,1,1,0.4447,yolo_box,ok,12.0000,919.1151,71.8902,21.8667,-10.7657,-10.7657,0.0000
4010.836483,114,4010.850313,13.8294,5.0974,0.4220,13.7042,-10.7686,-10.7686,0.0000,0.0000,1,1,1,0.4950,yolo_box,ok,12.0000,919.2381,72.2901,21.7027,-10.7686,-10.7686,0.0000
4010.853048,115,4010.871866,18.8175,5.2428,0.6797,18.6626,-10.7717,-10.7717,0.0000,0.0000,1,1,1,0.3861,yolo_box,ok,12.0000,919.3756,72.0789,22.1231,-10.7717,-10.7717,0.0000
